"activity" "signal" "direction" "average_mean" "average_std"
"frequency" "BodyAcc" "X" -0.622761658493734 -0.603356276555826
"frequency" "BodyAcc" "Y" -0.53749328145871 -0.528420009576204
"frequency" "BodyAcc" "Z" -0.665033506271952 -0.617874813333395
"frequency" "BodyAccJerk" "X" -0.656713524546605 -0.654979816705833
"frequency" "BodyAccJerk" "Y" -0.628961179980356 -0.612243590244114
"frequency" "BodyAccJerk" "Z" -0.743608246170053 -0.780928428167213
"frequency" "BodyAccMag" NA -0.585962696268539 -0.659531216655476
"frequency" "BodyBodyAccJerkMag" NA -0.620789916331592 -0.640076803144351
"frequency" "BodyBodyGyroJerkMag" NA -0.779767633083527 -0.792190209274884
"frequency" "BodyBodyGyroMag" NA -0.697411069729937 -0.699976372277643
"frequency" "BodyGyro" "X" -0.672094306818974 -0.738594816501343
"frequency" "BodyGyro" "Y" -0.70621663959074 -0.674226934551517
"frequency" "BodyGyro" "Z" -0.644192752866115 -0.690446312501126
"time" "BodyAcc" "X" 0.274347260646063 -0.607783818968688
"time" "BodyAcc" "Y" -0.0177434918458972 -0.510191378479501
"time" "BodyAcc" "Z" -0.108925032737064 -0.61306429934125
"time" "BodyAccJerk" "X" 0.0789381220355816 -0.63978102073413
"time" "BodyAccJerk" "Y" 0.0079481069090025 -0.607971599340832
"time" "BodyAccJerk" "Z" -0.00467469823628666 -0.762820240449202
"time" "BodyAccJerkMag" NA -0.649417950650692 -0.627762945785391
"time" "BodyAccMag" NA -0.54822165976717 -0.591225327146546
"time" "BodyGyro" "X" -0.0309824871713436 -0.721192598029789
"time" "BodyGyro" "Y" -0.0747194855994359 -0.682653506899942
"time" "BodyGyro" "Z" 0.088357304227173 -0.653665674372188
"time" "BodyGyroJerk" "X" -0.0967092754729682 -0.731348533131935
"time" "BodyGyroJerk" "Y" -0.0423181079782632 -0.786062320321895
"time" "BodyGyroJerk" "Z" -0.0548303497968374 -0.739932395222129
"time" "BodyGyroJerkMag" NA -0.762137610987416 -0.77799317279698
"time" "BodyGyroMag" NA -0.60524856977632 -0.662533062898382
"time" "GravityAcc" "X" 0.669226222373046 -0.965207115039421
"time" "GravityAcc" "Y" 0.00403879092060517 -0.95440802665318
"time" "GravityAcc" "Z" 0.0921508600211059 -0.938900969424022
"time" "GravityAccMag" NA -0.54822165976717 -0.591225327146546
